Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,MtCO2e,104.36,99.30,85.47,72.69,59.65,51.66,52.41,52.84,50.95,48.68,46.09,53.15,52.01,53.02,56.74,57.49,60.66,59.40,63.54,60.67,65.26,70.97,72.60,73.22,72.53,68.08,62.24,63.76,66.68
Singapore,MtCO2e,31.56,34.74,37.34,44.23,47.80,49.15,50.59,50.69,49.66,50.61,55.25,54.95,54.07,50.96,52.39,49.68,50.13,51.40,51.70,52.25,55.98,59.05,58.66,59.57,60.78,62.51,63.99,66.00,66.67
Papua New Guinea,MtCO2e,38.45,39.50,40.50,41.56,42.44,45.96,45.38,59.93,46.37,47.51,48.89,48.81,49.61,49.61,51.05,49.86,49.63,49.46,48.57,48.66,48.67,56.74,57.44,58.62,60.20,62.81,63.56,63.76,64.09
Hungary,MtCO2e,90.74,85.72,75.77,76.32,75.97,74.30,76.57,74.90,74.76,75.48,72.67,75.63,73.79,76.67,75.48,74.57,73.80,71.63,70.22,64.37,64.35,62.68,58.81,56.47,56.74,59.67,60.86,62.78,62.81
Serbia,MtCO2e,79.12,68.81,63.54,57.78,54.10,60.67,68.16,73.00,72.71,55.38,57.37,26.97,30.25,33.25,38.67,31.83,34.13,33.85,32.50,29.16,28.54,65.63,60.89,61.66,53.76,60.07,64.10,64.42,62.51
Ireland,MtCO2e,54.11,54.68,54.89,55.54,57.02,57.85,59.34,60.84,64.24,65.80,68.77,71.35,70.62,70.90,70.13,71.35,72.32,70.69,69.64,64.27,62.91,58.41,60.06,59.14,59.30,61.10,63.08,62.45,62.29
Finland,MtCO2e,38.27,38.18,35.07,36.31,42.92,38.94,45.39,43.45,39.81,39.13,37.79,58.93,61.32,69.47,65.56,53.39,64.75,62.92,54.80,51.19,59.29,11.43,5.73,6.47,2.38,-1.07,62.88,60.02,61.43
Botswana,MtCO2e,54.94,54.38,54.65,54.33,54.61,55.54,56.98,56.61,56.43,56.50,56.28,58.09,58.44,51.32,51.95,53.35,55.21,53.51,62.30,53.17,63.76,68.83,57.82,57.28,56.09,55.73,54.92,58.79,57.45
Mongolia,MtCO2e,34.47,36.71,34.57,33.37,31.60,32.52,31.88,34.06,33.70,33.78,34.91,31.61,29.76,29.50,29.29,31.98,34.90,37.61,37.84,38.88,36.16,38.92,42.31,44.76,47.31,48.92,51.20,53.99,55.72
Burkina Faso,MtCO2e,26.04,26.49,26.79,27.05,27.52,27.90,27.83,28.37,29.15,29.07,30.42,32.26,33.00,36.48,37.08,37.75,37.80,38.55,39.39,40.09,41.27,31.12,31.84,32.86,33.36,34.11,53.75,54.66,54.96
