Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,MtCO2e,2.47,2.16,2.15,2.03,2.09,2.15,2.01,1.89,1.77,1.78,1.96,1.98,2.17,1.89,2.19,2.35,2.23,2.23,2.28,2.35,2.45,2.25,2.24,2.45,2.29,2.39,2.08,2.07,2.07
Trinidad and Tobago,MtCO2e,0.31,0.29,0.36,0.34,0.32,0.34,0.20,0.22,0.22,1.32,1.53,1.57,2.13,2.19,3.19,2.70,2.65,2.69,2.63,2.57,1.93,2.14,1.91,2.52,2.07,2.34,2.98,2.35,1.90
Kazakhstan,MtCO2e,2.70,2.48,2.27,0.75,1.11,0.79,0.77,0.71,0.73,0.42,0.23,0.26,0.39,0.32,0.45,0.49,0.53,0.71,0.66,0.56,0.62,0.55,0.61,0.50,0.69,1.25,1.41,1.51,1.90
Luxembourg,MtCO2e,0.39,0.41,0.40,0.39,0.50,0.57,0.61,0.75,0.84,0.99,0.96,1.04,1.12,1.17,1.27,1.29,1.21,1.30,1.31,1.25,1.29,1.20,1.11,1.12,1.21,1.37,1.52,1.72,1.83
Cyprus,MtCO2e,0.91,1.04,1.02,0.87,0.92,1.01,1.05,1.06,1.10,1.29,1.43,1.56,1.36,1.38,1.08,1.81,1.85,1.74,1.67,1.50,1.41,1.52,1.43,1.47,1.44,1.48,1.71,1.71,1.80
Bahrain,MtCO2e,1.69,1.32,1.23,1.22,1.35,1.42,1.33,1.02,1.35,1.32,1.38,1.45,1.57,1.73,1.88,1.98,2.12,2.12,2.37,2.36,2.22,2.09,2.01,1.52,1.50,1.62,1.60,1.65,1.76
Cuba,MtCO2e,1.05,0.92,0.68,0.65,0.55,0.58,0.89,1.00,1.02,0.88,0.70,0.63,0.74,0.51,0.62,0.60,0.65,0.63,0.53,2.02,2.85,2.37,2.65,2.45,2.50,2.39,1.80,1.86,1.73
Dominican Republic,MtCO2e,0.12,0.11,0.15,0.16,0.16,0.17,0.18,0.20,0.93,1.08,1.17,1.07,0.91,1.16,1.31,1.32,1.30,1.31,1.25,1.26,1.30,1.32,1.31,1.33,1.45,1.53,1.55,1.68,1.70
Bangladesh,MtCO2e,0.34,0.32,0.28,0.33,0.37,0.41,0.43,0.47,0.57,0.60,0.52,0.77,0.80,0.89,0.90,0.99,0.95,0.93,1.10,1.04,1.16,1.33,1.27,1.31,1.33,1.40,1.44,1.55,1.68
Guatemala,MtCO2e,0.56,0.56,0.59,0.62,0.63,0.67,0.70,0.73,0.76,0.78,0.80,0.81,0.81,0.83,0.85,0.99,0.99,0.89,0.84,0.84,0.95,1.01,1.06,1.14,1.29,1.45,1.46,1.61,1.61
Jamaica,MtCO2e,0.56,0.56,0.58,0.59,0.61,0.63,0.60,0.60,0.61,0.61,0.64,0.64,0.81,0.82,0.72,0.87,1.04,1.20,1.33,0.83,0.86,0.89,0.67,1.23,1.21,1.47,1.40,1.48,1.59
Iceland,MtCO2e,0.32,0.23,0.26,0.29,0.30,0.34,0.37,0.42,0.51,0.52,0.61,0.49,0.51,0.52,0.57,0.60,0.64,0.70,0.65,0.50,0.55,0.61,0.61,0.56,0.62,0.81,1.08,1.31,1.49
Turkmenistan,MtCO2e,0.76,1.03,0.93,0.68,0.67,0.62,0.69,0.79,0.92,1.00,0.98,0.99,1.13,1.29,1.29,1.35,1.26,1.35,1.41,1.48,1.63,1.48,1.28,1.40,1.45,1.45,1.45,1.45,1.45
Jordan,MtCO2e,0.67,0.46,0.60,0.65,0.71,0.79,0.92,0.86,0.69,0.71,0.89,0.69,0.67,0.87,0.77,1.22,1.06,1.04,1.02,1.11,1.14,1.03,1.15,1.13,1.02,0.92,1.29,1.59,1.25
Czech Republic,MtCO2e,0.66,0.46,0.53,0.43,0.53,0.57,0.41,0.38,0.35,0.41,0.48,0.49,0.50,0.61,0.87,0.95,1.00,1.03,1.06,1.01,0.93,0.92,0.87,0.84,0.87,0.88,0.94,1.05,1.22
Venezuela,MtCO2e,3.56,4.18,3.92,3.90,3.49,3.33,3.23,3.00,2.56,5.49,5.75,4.94,5.53,2.51,4.19,3.91,2.82,3.27,2.32,1.93,3.03,1.57,1.31,1.33,1.49,1.82,1.48,1.43,1.21
Syria,MtCO2e,3.73,3.90,4.06,3.98,4.09,4.09,3.93,4.00,4.11,4.10,4.13,3.85,3.93,3.68,3.92,3.54,3.80,3.43,3.37,3.57,3.56,2.65,1.78,1.81,1.78,1.48,1.27,1.19,1.16
Estonia,MtCO2e,0.68,0.78,0.43,0.53,0.45,0.33,0.34,0.38,0.38,0.42,0.40,0.37,0.43,0.42,0.57,0.53,0.83,0.96,1.00,0.82,0.80,0.73,1.46,1.48,1.17,1.07,1.00,1.17,1.14
Libya,MtCO2e,0.89,0.92,0.93,1.03,1.16,1.20,1.89,1.82,1.89,1.89,2.21,1.52,1.53,1.63,1.77,1.65,2.07,2.03,1.96,1.76,1.67,0.39,1.66,1.16,0.60,0.42,0.43,0.86,1.05
Bulgaria,MtCO2e,0.90,1.64,1.79,2.04,1.83,1.84,1.42,0.47,0.61,0.23,0.44,0.61,0.70,0.91,0.82,0.91,0.87,0.71,1.02,1.10,0.81,0.74,0.69,0.76,0.76,0.80,0.88,0.96,1.02
Lithuania,MtCO2e,0.70,0.98,1.12,0.62,0.60,0.57,0.52,0.29,0.24,0.31,0.36,0.41,0.43,0.44,0.46,0.59,0.60,0.58,0.51,0.51,0.59,0.62,0.58,0.49,0.27,0.48,0.80,0.87,1.02
Ukraine,MtCO2e,6.18,5.57,2.18,0.93,0.57,0.48,0.88,0.87,0.66,0.88,0.78,0.75,0.90,1.11,1.13,1.12,1.00,0.85,0.79,0.73,0.82,0.74,0.92,0.38,0.40,0.37,0.48,0.77,0.92
Tunisia,MtCO2e,0.64,0.51,0.67,0.75,0.86,0.81,0.83,0.93,0.99,1.04,0.92,0.87,0.72,0.67,0.76,0.71,0.71,0.74,0.82,0.64,0.79,0.76,0.91,0.92,0.87,0.64,0.67,0.80,0.91
Lebanon,MtCO2e,0.16,0.27,0.37,0.38,0.47,0.66,0.34,0.35,0.34,0.40,0.40,0.41,0.41,0.40,0.41,0.47,0.33,0.41,0.53,0.56,0.71,0.71,0.66,0.83,0.73,0.66,0.78,0.86,0.84
Hungary,MtCO2e,0.49,0.39,0.41,0.38,0.57,0.54,0.58,0.55,0.58,0.63,0.70,0.66,0.62,0.61,0.69,0.80,0.81,0.74,0.83,0.71,0.70,0.71,0.51,0.50,0.53,0.54,0.57,0.66,0.82
Slovenia,MtCO2e,0.08,0.03,0.03,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.08,0.09,0.08,0.06,0.14,0.17,0.25,0.31,0.18,0.14,0.17,0.23,0.27,0.26,0.28,0.45,0.56,0.82
Uruguay,MtCO2e,0.37,0.45,0.65,0.98,0.59,1.22,0.96,0.89,0.84,0.89,1.03,1.21,1.15,1.09,1.19,1.24,0.94,1.24,1.61,1.80,1.66,1.47,1.18,0.94,0.92,0.84,0.76,0.63,0.78
Sudan,MtCO2e,0.12,0.12,0.12,0.11,0.13,0.13,0.13,0.13,0.13,0.32,0.36,0.41,0.42,0.41,0.39,0.37,0.32,0.30,0.46,0.50,0.58,0.66,0.71,0.46,0.42,0.60,0.67,0.76,0.74
Côte d'Ivoire,MtCO2e,0.39,0.55,0.59,0.54,0.60,0.53,0.57,0.58,0.59,0.62,0.66,0.62,0.60,0.57,0.57,0.64,0.44,0.49,0.39,0.22,0.23,0.22,0.24,0.23,0.32,0.63,0.78,0.75,0.74
Seychelles,MtCO2e,0.34,0.33,0.34,0.34,0.34,0.34,0.35,0.37,0.34,0.34,0.35,0.35,0.31,0.30,0.45,0.39,0.42,0.30,0.34,0.60,0.58,0.56,0.60,0.58,0.58,0.62,0.63,0.70,0.73
Costa Rica,MtCO2e,0.26,0.19,0.38,0.51,0.45,0.69,0.70,0.58,0.69,0.76,0.71,0.66,0.88,0.48,0.65,0.93,0.84,0.90,0.79,0.59,0.59,0.60,0.55,0.50,0.49,0.54,0.60,0.60,0.66
Senegal,MtCO2e,0.57,0.44,0.46,0.35,0.47,0.55,0.70,0.71,0.80,0.80,1.06,0.90,0.74,0.94,1.01,1.11,1.05,1.26,1.24,0.83,0.90,0.92,0.85,1.00,0.90,1.25,1.11,0.60,0.63
Ghana,MtCO2e,0.14,0.10,0.14,0.12,0.14,0.18,0.19,0.19,0.28,0.46,0.48,0.37,0.41,0.41,0.42,0.51,0.51,0.55,0.57,0.56,0.48,0.53,0.51,0.46,0.37,0.35,0.41,0.52,0.63
Croatia,MtCO2e,0.63,0.09,0.07,0.18,0.40,0.34,0.31,0.31,0.33,0.31,0.25,0.29,0.26,0.25,0.28,0.33,0.32,0.35,0.38,0.29,0.31,0.38,0.34,0.37,0.37,0.35,0.38,0.45,0.60
Latvia,MtCO2e,1.71,0.74,0.65,0.75,0.96,0.55,0.41,0.32,0.14,0.12,0.10,0.70,0.73,0.71,0.78,1.00,0.82,0.80,0.94,1.17,1.15,1.03,1.11,1.13,1.06,1.12,1.36,1.24,0.58
El Salvador,MtCO2e,0.12,0.09,0.13,0.15,0.14,0.16,0.15,0.15,0.19,0.21,0.22,0.22,0.20,0.22,0.23,0.24,0.23,0.36,0.35,0.35,0.34,0.35,0.27,0.46,0.48,0.47,0.53,0.53,0.56
Gabon,MtCO2e,0.28,0.26,0.86,0.83,0.69,0.64,0.57,0.69,0.73,0.76,0.84,0.84,0.88,0.85,0.84,0.82,0.76,0.78,0.77,0.77,0.87,0.84,0.75,0.75,0.74,0.78,0.79,0.51,0.53
Fiji,MtCO2e,0.28,0.22,0.29,0.33,0.37,0.39,0.41,0.44,0.46,0.51,0.68,0.53,0.42,0.52,0.83,0.78,0.75,0.68,0.44,0.33,0.52,0.16,0.17,0.20,0.25,0.41,0.43,0.46,0.48
Azerbaijan,MtCO2e,1.04,0.84,0.51,0.58,0.48,0.31,0.58,0.57,0.49,0.43,0.30,0.55,0.28,0.58,0.56,1.11,1.25,1.34,1.50,1.15,1.44,1.55,1.41,1.42,1.30,0.97,0.69,0.63,0.47
Serbia,MtCO2e,0.43,0.31,0.18,0.05,0.04,0.11,0.18,0.20,0.20,0.10,0.09,0.14,0.17,0.19,0.14,0.15,0.16,0.14,0.15,0.12,0.13,0.14,0.13,0.16,0.25,0.27,0.42,0.44,0.47
Barbados,MtCO2e,0.35,0.35,0.39,0.31,0.41,0.45,0.48,0.63,0.60,0.59,0.70,0.71,0.71,0.66,0.61,0.59,0.59,0.52,0.57,1.33,0.43,0.49,0.55,0.41,0.41,0.41,0.39,0.43,0.45
Belarus,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.31,0.34,0.34,0.37,0.39,0.44
Tanzania,MtCO2e,0.30,0.29,0.28,0.21,0.23,0.26,0.26,0.26,0.25,0.26,0.26,0.28,0.30,0.32,0.35,0.26,0.28,0.30,0.31,0.33,0.39,0.67,0.40,0.47,0.50,0.51,0.45,0.46,0.43
Democratic Republic of the Congo,MtCO2e,0.43,0.44,0.43,0.43,0.35,0.36,0.36,0.36,0.36,0.35,0.24,0.25,0.33,0.36,0.41,0.51,0.65,0.54,0.05,0.05,0.47,0.46,0.44,0.48,0.72,0.39,0.37,0.37,0.43
Romania,MtCO2e,0.70,0.49,0.74,0.75,0.49,0.55,0.26,0.37,0.41,0.39,0.38,0.34,0.29,0.35,0.41,0.33,0.41,0.44,0.59,0.44,0.48,0.41,0.40,0.56,0.80,0.77,0.86,0.98,0.42
