Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,MtCO2e,26.69,24.40,19.29,14.14,13.82,12.00,12.60,12.59,12.17,11.78,11.29,11.09,10.94,12.77,12.76,12.81,11.47,14.87,13.48,11.22,14.97,13.79,12.55,14.80,13.60,11.49,11.71,12.17,11.82
Denmark,MtCO2e,26.55,35.46,30.47,32.04,36.20,32.57,45.13,36.09,32.57,29.49,26.43,27.66,27.88,32.79,26.89,23.60,31.33,26.62,24.47,24.39,24.31,20.13,16.90,19.07,15.53,12.78,13.88,11.52,11.50
Dominican Republic,MtCO2e,3.27,3.65,4.38,4.05,4.95,5.00,5.13,5.86,8.71,9.30,9.56,9.91,10.51,9.10,7.90,8.61,8.97,9.11,9.44,8.42,8.93,9.49,9.52,9.19,10.06,10.80,10.95,10.03,11.14
Slovakia,MtCO2e,17.75,17.18,16.56,18.12,16.34,17.98,17.28,17.27,16.59,16.48,14.41,16.43,14.95,17.12,16.22,16.07,15.67,14.87,13.65,13.11,13.80,13.58,12.92,12.65,11.34,11.78,11.68,11.87,10.97
Cuba,MtCO2e,12.85,11.06,9.08,9.23,10.44,11.02,11.56,10.91,10.78,10.33,10.92,9.63,12.86,13.45,13.27,13.08,13.08,13.53,13.86,13.51,15.34,14.77,15.22,14.34,16.03,14.17,11.56,11.27,10.66
Ireland,MtCO2e,10.87,11.43,12.15,12.17,12.63,13.14,13.74,14.26,15.08,15.57,15.69,17.01,16.36,15.50,15.10,15.60,15.27,14.90,14.63,13.11,13.50,12.11,13.01,11.61,11.43,12.11,12.86,12.01,10.57
Myanmar,MtCO2e,1.59,1.61,1.71,1.90,2.20,2.49,2.69,2.86,2.90,3.17,2.77,2.39,2.70,3.15,3.07,3.08,3.08,3.07,2.85,2.14,2.72,2.58,3.02,3.32,4.75,5.69,7.35,9.23,9.76
Jordan,MtCO2e,3.44,3.80,4.42,4.55,4.68,5.16,5.39,5.56,6.01,5.84,6.74,6.69,7.09,7.18,7.09,7.42,7.93,8.56,8.76,8.90,9.04,9.91,11.29,11.56,12.55,11.74,10.23,10.50,9.53
Tunisia,MtCO2e,4.00,4.40,4.64,4.70,4.76,4.74,5.00,5.39,5.76,6.21,6.32,6.89,6.91,5.75,5.90,6.16,6.66,7.19,7.26,7.62,8.44,8.32,9.09,9.25,9.70,9.72,9.13,9.28,9.47
Sweden,MtCO2e,9.77,11.95,11.65,11.88,12.42,11.70,16.18,11.95,12.87,11.66,9.74,10.49,11.63,12.94,12.38,11.43,11.70,10.03,10.39,10.62,13.20,10.59,9.95,9.58,9.30,9.18,10.04,9.97,8.61
